v1,v2
ham,"Good morning, hope you have a productive day!"
ham,"Good morning, hope you have a productive day!"
ham,"Good morning, hope you have a productive day!"
ham,"Hey, are we still on for lunch tomorrow?"
spam,Your loan has been pre-approved. Apply now!
spam,Win cash prizes instantly by entering this lucky draw!
ham,Happy Birthday! Have a great day.
ham,Happy Birthday! Have a great day.
spam,Your loan has been pre-approved. Apply now!
ham,Can you send me the report by evening?
spam,You have been selected for a free vacation. Call now!
spam,Congratulations! You've won a $3869 gift card. Claim now!
spam,Congratulations! You've won a $1235 gift card. Claim now!
spam,You have been selected for a free vacation. Call now!
ham,Let's catch up over coffee this weekend.
spam,You have been selected for a free vacation. Call now!
ham,Are we meeting at 9 pm today?
spam,Claim your free coupons worth $466 today.
spam,Act fast! Limited time discount on your subscription.
ham,Are we meeting at 2 pm today?
spam,Exclusive offer! Buy one get one free on all products.
spam,Claim your free coupons worth $1812 today.
spam,You have been selected for a free vacation. Call now!
ham,See you at the gym later today.
ham,See you at the gym later today.
ham,Can you send me the report by evening?
spam,Claim your free coupons worth $1188 today.
ham,See you at the gym later today.
spam,Act fast! Limited time discount on your subscription.
ham,Did you complete the assignment for tomorrow?
ham,"Good morning, hope you have a productive day!"
spam,You have been selected for a free vacation. Call now!
spam,Your loan has been pre-approved. Apply now!
spam,Win cash prizes instantly by entering this lucky draw!
spam,Win cash prizes instantly by entering this lucky draw!
spam,Earn money from home in just 2955 hours a week!
spam,URGENT! Your account has been compromised. Verify immediately.
spam,Congratulations! You've won a $4093 gift card. Claim now!
spam,You are a lucky winner of our mega contest. Contact us.
spam,Earn money from home in just 279 hours a week!
spam,Congratulations! You've won a $2823 gift card. Claim now!
ham,See you at the gym later today.
ham,Don't forget to bring the documents for the meeting.
spam,Exclusive offer! Buy one get one free on all products.
ham,Don't forget to bring the documents for the meeting.
ham,"Hey, are we still on for lunch tomorrow?"
ham,Can you send me the report by evening?
ham,Let's catch up over coffee this weekend.
spam,Congratulations! You've won a $3855 gift card. Claim now!
ham,"Good morning, hope you have a productive day!"
spam,You have been selected for a free vacation. Call now!
spam,Earn money from home in just 4164 hours a week!
ham,"Hey, are we still on for lunch tomorrow?"
spam,You are a lucky winner of our mega contest. Contact us.
spam,Earn money from home in just 618 hours a week!
spam,Earn money from home in just 600 hours a week!
spam,URGENT! Your account has been compromised. Verify immediately.
ham,"Hey, are we still on for lunch tomorrow?"
spam,You have been selected for a free vacation. Call now!
spam,Win cash prizes instantly by entering this lucky draw!
ham,Let's catch up over coffee this weekend.
ham,"Hey, are we still on for lunch tomorrow?"
ham,Happy Birthday! Have a great day.
spam,Act fast! Limited time discount on your subscription.
ham,"Good morning, hope you have a productive day!"
spam,Act fast! Limited time discount on your subscription.
ham,Are we meeting at 10 pm today?
ham,Don't forget to bring the documents for the meeting.
spam,Congratulations! You've won a $4463 gift card. Claim now!
ham,Did you complete the assignment for tomorrow?
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Are we meeting at 10 pm today?
spam,Win cash prizes instantly by entering this lucky draw!
spam,Congratulations! You've won a $3042 gift card. Claim now!
spam,Your loan has been pre-approved. Apply now!
ham,Did you complete the assignment for tomorrow?
spam,You have been selected for a free vacation. Call now!
spam,Congratulations! You've won a $2961 gift card. Claim now!
ham,Looking forward to our trip next month.
ham,"Good morning, hope you have a productive day!"
spam,You have been selected for a free vacation. Call now!
ham,Let's catch up over coffee this weekend.
spam,Claim your free coupons worth $4245 today.
ham,"Good morning, hope you have a productive day!"
ham,Can you send me the report by evening?
ham,See you at the gym later today.
spam,You are a lucky winner of our mega contest. Contact us.
spam,Your loan has been pre-approved. Apply now!
spam,Congratulations! You've won a $4677 gift card. Claim now!
ham,See you at the gym later today.
spam,You have been selected for a free vacation. Call now!
spam,Earn money from home in just 867 hours a week!
ham,Looking forward to our trip next month.
spam,Your loan has been pre-approved. Apply now!
spam,You are a lucky winner of our mega contest. Contact us.
spam,You have been selected for a free vacation. Call now!
ham,See you at the gym later today.
ham,Let's catch up over coffee this weekend.
spam,Earn money from home in just 4741 hours a week!
spam,Win cash prizes instantly by entering this lucky draw!
ham,Can you send me the report by evening?
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Can you send me the report by evening?
ham,Let's catch up over coffee this weekend.
ham,Can you send me the report by evening?
ham,See you at the gym later today.
spam,You have been selected for a free vacation. Call now!
spam,Act fast! Limited time discount on your subscription.
spam,You are a lucky winner of our mega contest. Contact us.
ham,Happy Birthday! Have a great day.
spam,Exclusive offer! Buy one get one free on all products.
spam,You have been selected for a free vacation. Call now!
ham,Are we meeting at 7 pm today?
ham,See you at the gym later today.
ham,See you at the gym later today.
spam,Exclusive offer! Buy one get one free on all products.
ham,Are we meeting at 5 pm today?
ham,Can you send me the report by evening?
ham,Let's catch up over coffee this weekend.
ham,Can you send me the report by evening?
ham,See you at the gym later today.
spam,Win cash prizes instantly by entering this lucky draw!
spam,Earn money from home in just 3942 hours a week!
ham,Can you send me the report by evening?
ham,Let's catch up over coffee this weekend.
ham,"Hey, are we still on for lunch tomorrow?"
ham,Looking forward to our trip next month.
ham,Happy Birthday! Have a great day.
ham,Let's catch up over coffee this weekend.
spam,Your loan has been pre-approved. Apply now!
ham,Happy Birthday! Have a great day.
ham,Don't forget to bring the documents for the meeting.
spam,Congratulations! You've won a $845 gift card. Claim now!
spam,URGENT! Your account has been compromised. Verify immediately.
spam,Win cash prizes instantly by entering this lucky draw!
spam,You have been selected for a free vacation. Call now!
ham,"Good morning, hope you have a productive day!"
ham,"Good morning, hope you have a productive day!"
spam,Win cash prizes instantly by entering this lucky draw!
spam,URGENT! Your account has been compromised. Verify immediately.
spam,Act fast! Limited time discount on your subscription.
ham,Let's catch up over coffee this weekend.
ham,See you at the gym later today.
spam,Earn money from home in just 1437 hours a week!
spam,You are a lucky winner of our mega contest. Contact us.
ham,Can you send me the report by evening?
ham,Did you complete the assignment for tomorrow?
spam,Win cash prizes instantly by entering this lucky draw!
ham,See you at the gym later today.
spam,Act fast! Limited time discount on your subscription.
spam,You are a lucky winner of our mega contest. Contact us.
ham,Did you complete the assignment for tomorrow?
spam,Act fast! Limited time discount on your subscription.
ham,Are we meeting at 3 pm today?
spam,You have been selected for a free vacation. Call now!
ham,Looking forward to our trip next month.
spam,Your loan has been pre-approved. Apply now!
spam,You have been selected for a free vacation. Call now!
spam,You are a lucky winner of our mega contest. Contact us.
spam,Your loan has been pre-approved. Apply now!
ham,Let's catch up over coffee this weekend.
ham,Let's catch up over coffee this weekend.
ham,See you at the gym later today.
spam,Claim your free coupons worth $3931 today.
ham,"Hey, are we still on for lunch tomorrow?"
ham,Let's catch up over coffee this weekend.
spam,Exclusive offer! Buy one get one free on all products.
ham,Happy Birthday! Have a great day.
spam,You have been selected for a free vacation. Call now!
ham,Are we meeting at 5 pm today?
ham,"Good morning, hope you have a productive day!"
spam,URGENT! Your account has been compromised. Verify immediately.
ham,"Hey, are we still on for lunch tomorrow?"
ham,"Good morning, hope you have a productive day!"
ham,Did you complete the assignment for tomorrow?
ham,Happy Birthday! Have a great day.
spam,Claim your free coupons worth $3276 today.
ham,Looking forward to our trip next month.
spam,You are a lucky winner of our mega contest. Contact us.
ham,Can you send me the report by evening?
ham,Let's catch up over coffee this weekend.
ham,Happy Birthday! Have a great day.
ham,"Hey, are we still on for lunch tomorrow?"
spam,Earn money from home in just 2710 hours a week!
ham,Looking forward to our trip next month.
ham,Don't forget to bring the documents for the meeting.
ham,See you at the gym later today.
ham,Looking forward to our trip next month.
spam,Congratulations! You've won a $1281 gift card. Claim now!
spam,Your loan has been pre-approved. Apply now!
spam,You are a lucky winner of our mega contest. Contact us.
spam,Your loan has been pre-approved. Apply now!
spam,Earn money from home in just 1372 hours a week!
spam,URGENT! Your account has been compromised. Verify immediately.
spam,Your loan has been pre-approved. Apply now!
spam,URGENT! Your account has been compromised. Verify immediately.
spam,Claim your free coupons worth $1714 today.
spam,Act fast! Limited time discount on your subscription.
spam,You have been selected for a free vacation. Call now!
ham,Happy Birthday! Have a great day.
ham,See you at the gym later today.
ham,Don't forget to bring the documents for the meeting.
ham,Happy Birthday! Have a great day.
spam,Claim your free coupons worth $2331 today.
ham,See you at the gym later today.
ham,"Good morning, hope you have a productive day!"
spam,Exclusive offer! Buy one get one free on all products.
ham,Looking forward to our trip next month.
ham,Are we meeting at 1 pm today?
spam,Claim your free coupons worth $4091 today.
ham,Can you send me the report by evening?
ham,Are we meeting at 9 pm today?
ham,Looking forward to our trip next month.
ham,"Good morning, hope you have a productive day!"
ham,"Good morning, hope you have a productive day!"
ham,Happy Birthday! Have a great day.
spam,You have been selected for a free vacation. Call now!
ham,Happy Birthday! Have a great day.
spam,Win cash prizes instantly by entering this lucky draw!
ham,See you at the gym later today.
ham,Let's catch up over coffee this weekend.
spam,Earn money from home in just 520 hours a week!
spam,You have been selected for a free vacation. Call now!
spam,Your loan has been pre-approved. Apply now!
spam,URGENT! Your account has been compromised. Verify immediately.
spam,Congratulations! You've won a $1390 gift card. Claim now!
ham,Don't forget to bring the documents for the meeting.
spam,You are a lucky winner of our mega contest. Contact us.
spam,You have been selected for a free vacation. Call now!
spam,Congratulations! You've won a $3958 gift card. Claim now!
ham,"Good morning, hope you have a productive day!"
ham,Are we meeting at 2 pm today?
ham,Let's catch up over coffee this weekend.
ham,Happy Birthday! Have a great day.
ham,Did you complete the assignment for tomorrow?
spam,URGENT! Your account has been compromised. Verify immediately.
ham,"Good morning, hope you have a productive day!"
ham,Don't forget to bring the documents for the meeting.
