v1,v2
spam,woRk fRM HOMe in 3121 hRZ/WeEk & Earn $$$ fast!
ham,DiD U Finish tHAt aSsiGnmNT 4 TMRw?
spam,Congratulations!!!  You'vvve  won  a  $497  g!ft  card.  ClAim  n0w!!!
ham,dont forget to bring the docss for meetin.
spam,L0an  pre-appr0ved  ✔✔  applly  fasttt.
ham,Happy bdayyy! 🎂 hv a gr8 day.
spam,Claim ur fre coupons worth $3812 2dayyy.
spam,YoU aRe da lucky WINNER of our mega contest 🎉.
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
ham,See ya at the gym l8er today 💪.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
spam,you hV bEen s3LecTeD for A fr33 vaCAt!oN. cAll n0w!
ham,SEe YA at The gym L8Er .tOday 💪.
spam,EXCLUSIVE  offer!!!  Buy  1  get  1  fr33  on  all  prodductz.
ham,plzz send me the report by eve.
ham,plzz send me the report by eve.
ham,"plzZ SENd Me ThE Repo""RT by eVE."
spam,Congratulations!!! You'vvve won a $3248 g!ft card. ClAim n0w!!!
ham,DoNt fORget tO bring tHE dOCss For Meetin.
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
spam,Claim ur fre coupons worth $268 2dayyy.
ham,dont FORgET to BRinG tHe DoCsS fOR mEetIN.
ham,See ya at the gym l8er today 💪.
ham,Happy bdayyy! 🎂 hv a gr8 day.
ham,DID U FiNI.SH THaT asSiGNmnt 4 tMRw?
spam,L0an pre-appr0ved ✔✔ applly fa*sttt.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,dont forget to bring the docss for meetin.
ham,SEE  Ya  AT  tHe  gym  L8er  toDaY  💪.
ham,plzz send me the report by eve.
spam,aCt FAssST! L1Mited TiME D!sCoUNT oN SUb$cRIPtIoN.
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
ham,R WE mEETIn aT 11 PM 2DAy?
ham,DONt %forgEt To bRInG ThE docSs FOr MEETIN.
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
spam,cLAIm Ur FRE CoUpONs WORtH $943 2DAyYy.
ham,lets catch up ovr ☕ this weeken`d!
ham,Happy bdayyy! 🎂 hv a gr8 day.
ham,gmorning! hope u hv a prod.uctive day.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,"Hey, are we still on for lunch 2morrow?"
spam,L0an pre-appr0ved ✔✔ applly fasttt.
spam,Claim ur fre coupons worth $3884 2dayyy.
spam,Act  fassst!  L1mited  time  d!scount  on  sub$cription.
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
spam,Act fassst! L1mited time d!scount on sub$cription.
spam,Act fassst! L1mited time d!scount on sub$cription.
spam,YoU Hv beEN s3lecTED FOr a Fr33 VAcat!oN. CAlL N0W!
ham,DID u FiNISh THat asSIGnmNt 4 tMRw?
ham,Did u finish that assignmnt 4 tmrw?
ham,Did  u  finish  that  assignmnt  4  tmrw?
ham,r We mEetIn At 9 pm 2dAY?
ham,Did u finish that assignmnt 4 tmrw?
ham,lets %catch up ovr ☕ this weekend!
spam,URGENT!!  Your  acc0unt  haz  been  compr0mi+sed...  ver1fy  imm3diately.
ham,Happy bdayyy! 🎂 hv a gr8 day.
ham,Did u finish that assignmnt 4 tmrw?
ham,plzz send me the report by eve.
spam,"uRGENt!! your acc0uNT haz bEEn comPR0mIsE,d... VER1fY IMm3dIaTelY."
spam,YOU aR$e da lUCKY winNeR oF OUR MEGA COnTEsT 🎉.
ham,See ya at the gym l8er today 💪.
spam,urgEnt!! yOU`R ACc0Unt HAZ been coMpr0mIseD... Ver1fY IMM3DiateLy.
ham,see Ya At tHe GYM l8.eR Today 💪.
ham,R we meetin at 8 pm 2day?
ham,dOnT FORgEt tO BrInG the DOCSs fOR MeeTIn.
spam,Congratulations!!! You'vvve won a $2556 g!ft card. ClAim n0w!.!!
ham,dont forget to bring the docss for meetin.
ham,haPpy BDAyYY! 🎂 hv A Gr8 dAy.
ham,R we meetin at 8| pm 2day?
ham,R  we  meetin  at  9  pm  2day?
spam,coNgRATulAtionS!!! yoU'VVvE won A $4819 G!Ft Card. ClAim n0w!!!
spam,Congratulations!!! You'vvve won a $3776 g!ft card. ClAim n0w!!!
spam,URGENT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
ham,dont forget to bring the docss for meetin.
ham,gmorning! hope u hv a productive day.
spam,YoU aRe da lucky WINNER of our mega contest 🎉.
ham,lets catch up ovr ☕ this weekend!
spam,EXCLUSIVE  offer!!!  Buy  1  get  1  fr33  on  all  prodductz.
ham,lets catch up ovr ☕ this~ weekend!
ham,R  we  meetin  at  12  pm  2day?
ham,Lookin forward 2 our trip nxt mnth 🚗.
ham,R  we  meetin  at  6  pm  2day?
spam,CoNgRaTulATiONs!!! YoU'VvVE WON A $4403 g!Ft cARd. cLaim n0w!!!
ham,Happy bdayyy! 🎂 hv a gr8 day.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,dONt  FORGet  TO  BrinG  thE  dOcsS  for  MEetIN.
spam,Congratulations!!! You'vvve won a $1289 g!ft card. ClAim n0w!!!
spam,yOu HV bEen s3LECTED FOR A Fr33 VaCat!ON. cAlL n0W!
ham,Did  u  finish  that  assignmnt  4  tmrw?
spam,Claim ur fre coupons worth $2170 2dayyy.
spam,WoRk frm home iN 4826 hrz/WEek & earn $$$ fAst!
ham,See ya at the gym l8er today 💪.
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
ham,R we meeTIn at 3 Pm 2Day?
spam,Claim  ur  fre  coupons  worth  $3086  2dayyy.
spam,L0an  pre-appr0ved  ✔✔  applly  fasttt.
ham,R we meetin at 7 pm 2day?
ham,did u FINIsH tHAT AssiGnMnT 4 tMRw?
ham,plzz send me the report by eve.
ham,Lookin forward 2 our trip nxt mnth 🚗.
ham,Lookin forward 2 our trip nxt mnth 🚗.
spam,L0an  pre-appr0ved  ✔✔  applly  fasttt.
spam,Claim  ur  fre  coupons  worth  $343  2dayyy.
spam,L0an pre-appr0ved ✔✔ applly fasttt.
spam,Claim ur fre coupons worth $4278 2dayyy.
ham,r we MeetIn At 1 Pm 2DaY?
ham,r wE MeETiN at 9 PM 2DAy?
ham,plzz send me the report by eve.
ham,dont forget to bring the docss for meetin.
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
spam,L0an pre-appr0ved ✔✔ applly fasttt.
ham,?See ya at the gym l8er today 💪.
ham,gmoRnING! HopE U Hv a pROdUCtiVE DAy.
ham,Lookin forward 2 our trip nxt mnth 🚗.
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
spam,URGENT!! Your acc0unt haz been compr0mised... ver1fy imm3diately.
spam,Work frm home in 1155 hrz/week & earn $$$ fast!
ham,R we meetin at 4 pm 2da|y?
ham,plzz  send  me  the  report  by  eve.
spam,you ARe dA lUCKy wInnER of ouR meGA coNTeSt 🎉.
spam,Congratulations!!! You'vvve won a $758 g!ft card. ClAim n0w!!!
spam,Win  ca$h  prizzzes  instantly  by  ent3ring  thiz  lucky  dr@w!
spam,Claim ur fre coupons worth $4053 2dayyy.
spam,Win  ca$h  prizzzes  instantly  by  ent3ring  thiz  lucky  dr@w!
ham,lOOkiN FOrWARD 2 OUR T?RiP nXT MNTH 🚗.
spam,Work frm home in 3777 hrz/week & earn $$$ fast!
ham,lets catch up ovr ☕ this weekend!
spam,WIN  cA$H  pRIzZzEs  instANTlY  By  ENT3Ring  ThIZ  LuCKY  Dr@w!
ham,PlZZ  SEnD  ME  tHe  rePOrT  BY  EVe.
ham,"Hey, are we still on for lunch 2morrow?"
ham,dont forget to bring the docss for meetin.
ham,plZz sEnd me tHE RePOrT By eVe.
spam,YOu Are da LUCKy WinnEr oF oUR meGA CONTEst 🎉.
spam,YoU aRe da lucky WINNER of our mega contest 🎉.
ham,dont forget to bring the docss for meetin.
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
ham,plzz send me the report by eve.
spam,Work frm home in 2874 hrz/week & earn $$$ fast!
ham,"Hey, are we still on for lunch 2morrow?"
spam,cLAim UR fRE COupOns woRTH $1982 2DAYYy.
spam,urgENT!!  yOuR  aCC0unT  hAz  beEN  comPR0MiSEd...  VEr1FY  ImM3dIaTELY.
spam,CONgraTuLATIONs!!! you'vvVE Won a $2287 G!fT cArd. clAIm n0W!!!
ham,"h|EY, are wE stIlL on For LuNcH 2moRrOW?"
ham,gmoRniNG! hOPE u HV a prodUctIvE dAy.
spam,Clai]m  ur  fre  coupons  worth  $3632  2dayyy.
spam,Congratulations!!!  You'vvve  won  a  $2367  g!ft  card.  ClAim  n0w!!!
spam,Work  frm  home  in  186  hrz/week  &  earn  $$$  fast!
ham,LeTs cAtch uP Ovr ☕ thiS wEEKeNd!
ham,dont  forget  to  bring  the  docss  for  meetin.
ham,"hEY, ArE We stiLL on fOr LunCH 2mORrow?"
ham,See ya at the gym l8er today 💪.
ham,diD U finiSh ThAt asSIGnMNT 4 tMrW?
ham,See Ya At THe GYm L8er Today 💪.
spam,Act fassst! L1mited time d!scount on sub$cription.
ham,Happy bdayyy! 🎂 hv a gr8 day.
ham,Lookin forward 2 our trip nxt mnth 🚗.
ham,Did u finish that assignmnt 4 tmrw?
ham,GmORNiNG!  HOpe  u  Hv  a  prOduCTiVE  day.
spam,EXCLUSIVE  offer!!!  Buy  1  get  1  fr33  on  all  prodductz.
ham,See ya at the gym l8er today 💪.
ham,Happy bDayYY! 🎂 Hv a gR8 DAY.
ham,Did  u  finish  that  assignmnt  4  tmrw?
spam,Claim ur fre coupons worth $2584 2dayyy.
ham,See ya at the gym l8er today 💪.
spam,You hv been s3lected for a FR33 vacat!on. Call n0w!
ham,Happy bdayyy! 🎂 hv a gr8 day.
ham,R we meetin at 3 pm 2day?
ham,"hEy, ARE wE sTILl On fOR LUnCh 2MorrOw?"
spam,Win ca$h prizzzes instantly by ent3ring thiz lucky dr@w!
